District,Reg_Voters,AMURIAT_OBOI_PATRICK,KABULETA_KIIZA_JOSEPH,KALEMBE_NANCY_LINDA,KATUMBA_JOHN,KYAGULANYI_SSENTAMU_ROBERT,MAO_NORBERT,MAYAMBALA_WILLY,MUGISHA_MUNTU_GREGG,MWESIGYE_FRED,TUMUKUNDE_HENRY_KAKURUGU,YOWERI_MUSEVENI_TIBUHABURWA_KAGUTA,Valid_Votes,Invalid_Votes,Total_Votes,Received_Station
KITGUM,99234,2561,606,459,294,14869,3322,500,582,336,571,26880,50980,4459,55439,"198/
198"
KOTIDO,61086,423,141,165,135,2823,210,1214,234,230,957,32310,38842,4846,43688,"153/
154"
KUMI,119112,25139,327,215,289,2105,164,111,314,164,325,38234,67387,3336,70723,"215/
215"
LIRA,103180,1070,563,541,321,18093,1044,366,569,349,780,36908,60604,2882,63486,"175/
175"
LUWERO,257115,459,176,256,393,103782,289,101,298,184,211,41166,147315,4649,151964,"471/
471"
MASAKA,55626,83,26,58,70,23132,95,9,61,59,51,11317,34961,1187,36148,"95/
95"
MASINDI,154805,1117,2721,191,282,20879,203,97,358,314,411,55604,82177,4364,86541,"269/
269"
MBALE,108400,1309,170,321,159,28935,135,69,170,137,190,37106,68701,2603,71304,"240/
240"
MBARARA,84209,660,108,82,259,4586,57,12,792,83,190,49807,56636,1419,58055,"159/
159"
MOROTO,38004,211,111,60,45,1417,66,94,67,68,952,21342,24433,2225,26658,"99/
99"
MOYO,45367,483,191,149,75,4648,200,37,164,172,146,18227,24492,1542,26034,"81/
81"
MPIGI,135726,332,64,112,182,60815,160,27,138,73,150,22333,84386,2558,86944,"245/
245"
MUBENDE,196565,350,135,100,196,40980,133,49,328,178,343,71834,114626,5661,120287,"383/
383"
MUKONO,355275,1148,270,372,856,134591,525,117,600,185,248,48062,186974,4355,191329,"602/
619"
NEBBI,130508,2271,369,425,328,15421,761,223,448,563,469,47285,68563,4079,72642,"241/
241"
NTUNGAMO,268541,3227,145,300,802,12503,159,53,7110,218,677,161655,186849,3921,190770,"481/
481"
PALLISA,131370,10031,259,348,194,16362,270,361,283,535,465,53788,82896,3938,86834,"277/
277"
RAKAI,135169,219,58,129,122,33267,99,33,232,105,214,47288,81766,3195,84961,"223/
226"
RUKUNGIRI,185118,18204,204,336,1432,6501,150,83,936,149,2980,77410,108385,4058,112443,"404/
404"
SOROTI,92720,19758,505,491,469,5196,184,166,298,324,338,34590,62319,2991,65310,"171/
173"
TORORO,268434,8876,881,682,521,54556,561,143,657,485,893,86248,154503,5792,160295,"481/
481"
ADJUMANI,79364,1179,710,325,198,7866,225,81,264,183,265,35125,46421,2540,48961,"142/
142"
BUGIRI,193053,1836,256,417,267,49475,279,134,328,226,392,45980,99590,5285,104875,"371/
371"
BUSIA,163571,2671,945,738,448,45166,305,137,299,261,441,44679,96090,4793,100883,"284/
284"
KATAKWI,83162,11710,414,185,105,2108,150,52,254,201,290,40777,56246,0,56246,"193/
193"
